symbol,date,open,high,low,close,volume,adjusted
TR,1988-05-24,3.962242,3.962242,3.893033,3.94494,39012,2.559101
TR,1988-05-25,3.979544,3.996847,3.962242,3.979544,101865,2.581548
TR,1988-05-26,3.979544,4.135266,3.979544,4.048754,117036,2.626445
TR,1988-05-27,4.048754,4.187173,4.048754,4.152568,52738,2.693789
TR,1988-05-31,4.187173,4.308289,4.187173,4.290987,79469,2.783583
TR,1988-06-01,4.308289,4.325592,4.256382,4.256382,91750,2.761133
TR,1988-06-02,4.221778,4.221778,4.083359,4.083359,26730,2.648892
TR,1988-06-03,4.083359,4.152568,4.083359,4.152568,57073,2.693789
TR,1988-06-06,4.117963,4.187173,4.117963,4.187173,26730,2.716238
TR,1988-06-07,4.152568,4.152568,4.048754,4.048754,16616,2.626445
TR,1988-06-08,4.048754,4.204475,4.031452,4.169871,39012,2.705013
TR,1988-06-09,4.169871,4.221778,4.083359,4.187173,33232,2.716238
TR,1988-06-10,4.187173,4.273685,4.187173,4.23908,67910,2.749911
TR,1988-06-13,4.221778,4.290987,4.187173,4.290987,54183,2.783583
TR,1988-06-14,4.273685,4.325592,4.169871,4.290987,92473,2.788711
TR,1988-06-15,4.256382,4.325592,4.221778,4.290987,88138,2.788711
TR,1988-06-16,4.290987,4.290987,4.221778,4.221778,53461,2.743731
TR,1988-06-17,4.23908,4.256382,4.152568,4.152568,50571,2.698751
TR,1988-06-20,4.152568,4.187173,4.083359,4.187173,46959,2.721241
TR,1988-06-21,4.169871,4.204475,4.152568,4.169871,22396,2.709996
TR,1988-06-22,4.187173,4.256382,4.169871,4.256382,67187,2.76622
TR,1988-06-23,4.221778,4.325592,4.204475,4.325592,38290,2.811201
TR,1988-06-24,4.256382,4.342894,4.256382,4.342894,52738,2.822445
TR,1988-06-27,4.360197,4.429406,4.360197,4.394801,85971,2.85618
TR,1988-06-28,4.290987,4.377499,4.290987,4.360197,49126,2.83369
TR,1988-06-29,4.325592,4.412104,4.221778,4.221778,41902,2.743731
TR,1988-06-30,4.187173,4.273685,4.169871,4.204475,62853,2.732486
TR,1988-07-01,4.273685,4.325592,4.273685,4.290987,75857,2.788711
TR,1988-07-05,4.290987,4.394801,4.290987,4.377499,25286,2.844934
TR,1988-07-06,4.342894,4.377499,4.290987,4.290987,41902,2.788711
TR,1988-07-07,4.325592,4.325592,4.256382,4.290987,16616,2.788711
TR,1988-07-08,4.290987,4.412104,4.256382,4.377499,46236,2.844934
TR,1988-07-11,4.290987,4.308289,4.221778,4.308289,54183,2.799955
